Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Sagebrush,PC,9/18/2018,NA,Redact Games,Redact Games,,Survival Horror,,,,1,,, $ -   ,Digital,0,,,,,80%,itch.io,3,,2.00,,2018,70%,80%,0.6
Undertale,Nintendo Switch,9/18/2018,NA,Toby Fox,Toby Fox,Undertale,Turn-Based RPG,,,,1,Complete,5/2/2019, $ 35.39 ,Physical,0,,,,92%,83%,,2,,6.50,,2018,64%,0.876,0.4
Distance,PC,9/18/2018,NA,Refract,Refract,,Racing,1,,,1,,9/8/2019, $ -   ,Digital,0,,,,90%,73%,Steam,2,,2.00,,2018,61%,0.816,0.4
Transference,PC,9/18/2018,NA,Ubisoft,Ubisoft,,Survival Horror,1,,,1,,6/29/2021, $ 4.99 ,Digital,0,,,,78%,80%,Steam,2,,1.50,,2018,60%,0.79,0.4
Verlet Swing,PC,9/18/2018,NA,Flamebait Games,Flamebait Games,,Action,,,,1,,7/3/2020, $ -   ,Digital,0,,,,,78%,Steam,2,,19.50,,2018,59%,78%,0.4
The Lost Legends of Redwall: The Scout Act 1,PC,9/14/2018,NA,Soma Games,Soma Games,Redwall,Action Adventure,,,,1,,6/23/2022, $ 2.99 ,Digital,0,,,,,,Steam,3,,,,2018,60%,,0.6
Wasteland 2: Director's Cut,Nintendo Switch,9/13/2018,NA,inXile Entertainment,inXile Entertainment,Wasteland,Computer RPG,,,,1,Complete,4/16/2019, $ 29.99 ,Physical,0,,,,74%,81%,,3,,39.50,,2018,69%,0.776,0.6
Final Fantasy XV: Pocket Edition HD,Nintendo Switch,9/13/2018,NA,Square Enix,XPEC Entertainment,Final Fantasy,Action RPG,,,,1,,7/21/2022, $ 11.25 ,Digital,0,,,,69%,69%,,3,,16.00,,2018,65%,0.692,0.6
Akane,PC,9/10/2018,NA,Ludic Studios,Ludic Studios,,Hack-and-Slash,,,,1,,9/12/2018, $ 2.99 ,Digital,0,,,,,66%,Steam,3,,3.50,,2018,63%,66%,0.6
Yo-kai Watch Blasters: Red Cat Corps,Nintendo 3DS,9/7/2018,NA,Nintendo,Level-5,Yo-kai Watch,Turn-Based RPG,,,,1,,12/28/2022, $ 39.99 ,Digital,0,,,,67%,85%,,3,,17.00,,2018,68%,0.758,0.6
SNK Heroines: Tag Team Frenzy,Nintendo Switch,9/7/2018,NA,NIS  America,SNK,,Fighting,,,,1,Complete,7/7/2019, $ 9.97 ,Physical,0,,,,62%,68%,,2,,1.00,,2018,53%,0.652,0.4
Paratopic,PC,9/6/2018,NA,Arbitrary Metric,Arbitrary Metric,,Survival Horror,,,,1,,6/8/2019, $ -   ,Digital,0,,,,80%,66%,Steam,3,,0.70,,2018,67%,0.731,0.6
Dragon Quest XI: Echoes of an Elusive Age,PlayStation 4,9/4/2018,NA,Square Enix,Square Enix,Dragon Quest,Turn-Based RPG,,,,1,Complete,2/10/2019, $ 38.87 ,Physical,0,,,,89%,86%,,4,,56.00,,2018,84%,0.876,0.8
Dragon Quest XI: Echoes of an Elusive Age,PC,9/4/2018,NA,Square Enix,Square Enix,Dragon Quest,Turn-Based RPG,,,,1,,5/1/2020, $ 17.09 ,Digital,0,,,,80%,85%,Steam,4,,56.00,,2018,81%,0.827,0.8
Planet Alpha,PC,9/4/2018,NA,Team17,Planet Alpha ApS,,Action Adventure,,,,1,,10/4/2019, $ -   ,Digital,0,,,,72%,68%,Steam,2,,5.00,,2018,55%,0.698,0.4
428: Shibuya Scramble,PC,9/4/2018,NA,Spike Chunsoft,Spike Chunsoft,,Visual Novel,,,,1,,8/9/2023, $ 9.99 ,Digital,0,,,,,80%,Steam,4,,27.00,,2018,80%,80%,0.8
Shadows: Awakening,PC,8/31/2018,NA,Kalypso Media,Games Farm,Heretic Kingdoms,Action RPG,,,,1,,2/20/2020, $ 3.33 ,Digital,0,,,,77%,70%,Steam,4,,25.00,,2018,77%,0.735,0.8
Naruto to Boruto: Shinobi Striker,PC,8/31/2018,NA,Bandai Namco Entertainment,Soleil Ltd.,Naruto,Fighting,,,,1,,4/5/2022, $ -   ,Digital,0,,,,66%,68%,Steam,2,,6.00,,2018,54%,0.672,0.4
The Messenger,Nintendo Switch,8/30/2018,NA,Devolver Digital,Sabotage Studio,,Action Platformer,,,,1,Complete,9/3/2019, $ 40.74 ,Physical,0,,,,87%,84%,Limited Run Games,4,,10.50,,2018,83%,0.856,0.8
The Messenger,PC,8/30/2018,NA,Devolver Digital,Sabotage Studio,,Action Platformer,,,,1,,, $ -   ,Digital,0,,,,85%,80%,Twitch,4,,10.50,,2018,81%,0.823,0.8
Freedom Planet,Nintendo Switch,8/30/2018,NA,GalaxyTrail,GalaxyTrail,Freedom Planet,Side-Scrolling Platformer,,,,1,Complete,10/8/2019, $ 37.95 ,Physical,0,,,,85%,84%,Limited Run Games,3,,4.50,,2018,72%,0.84505,0.6
Two Point Hospital,PC,8/29/2018,NA,Sega,Two Point Studios,,Simulation,,,,1,,1/3/2020, $ -   ,Digital,0,,,,83%,73%,Steam,2,,32.00,,2018,59%,0.78,0.4
Yakuza Kiwami 2,PlayStation 4,8/28/2018,NA,Sega,Sega CS1,Yakuza,Action Adventure,,,,1,Complete,2/6/2019, $ 29.99 ,Physical,0,,,,85%,85%,,4,,18.50,,2018,83%,0.851,0.8
Donut County,Nintendo Switch,8/28/2018,NA,Annapurna Interactive,Ben Esposito,,Action,,,,1,Complete,4/14/2020, $ 41.30 ,Physical,0,,,,79%,72%,iam8bit,4,,2.00,,2018,78%,0.754,0.8
Monster Hunter Generations Ultimate,Nintendo Switch,8/28/2018,NA,Capcom,Capcom,Monster Hunter,Action RPG,,,,1,Complete,2/28/2021, $ 27.11 ,Physical,0,,,,80%,86%,,3,,83.00,,2018,71%,0.828,0.6
Blade Strangers,PC,8/28/2018,NA,Nicalis,Studio Saizensen,,Fighting,,,,1,,3/20/2020, $ 1.98 ,Digital,0,,,,,79%,Steam,3,,2.00,,2018,69%,79%,0.6
Victor Vran: Overkill Edition,Nintendo Switch,8/28/2018,NA,Wired Productions,Haemimont Games,Victor Vran,Action RPG,,,,1,Complete,6/3/2019, $ 19.99 ,Physical,0,,,,78%,80%,,2,,10.50,,2018,59%,0.788,0.4
Strange Brigade,PC,8/27/2018,NA,Rebellion Developments,Rebellion Developments,,Third-Person Shooter,,,,1,,9/4/2020, $ -   ,Digital,0,,,,68%,71%,Steam,2,,7.50,,2018,55%,0.696,0.4
Night Trap,Nintendo Switch,8/24/2018,NA,Screaming Villains,Digital Pictures,,FMV,,,,1,Complete,1/2/2023, $ 29.99 ,Physical,0,,,,,62%,Limited Run Games,3,,2.00,,2018,61%,62%,0.6
The King's Bird,PC,8/23/2018,NA,Graffiti Games,Serenity Forge,,Action Platformer,,,,1,,6/5/2020, $ 0.62 ,Digital,0,,,,67%,54%,itch.io,3,,10.00,,2018,60%,0.604,0.6
Guacamelee! 2,PC,8/21/2018,NA,DrinkBox Studios,DrinkBox Studios,Guacamelee,Metroidvania,,,,1,,9/8/2019, $ -   ,Digital,0,,,,85%,78%,Steam,4,,8.50,,2018,81%,0.813,0.8
Shenmue I & II,PlayStation 4,8/21/2018,NA,Sega,Sega AM2,Shenmue,Action Adventure,,,,1,Complete,1/7/2019, $ 17.45 ,Physical,0,,,,74%,82%,,4,,38.00,,2018,79%,0.78,0.8
Sword Art Online Re: Hollow Fragment,PC,8/21/2018,NA,Bandai Namco Games,Aquria,Sword Art Online,Turn-Based RPG,,,,1,,6/20/2020, $ 4.99 ,Digital,0,,,,,74%,Steam,3,,64.50,,2018,67%,74%,0.6
Not Tonight,PC,8/17/2018,NA,No More Robots,PanicBarn,,Simulation,,,,1,,1/1/2021, $ -   ,Digital,0,,,,71%,73%,Steam,2,,10.00,,2018,56%,0.719,0.4
Evergarden,PC,8/16/2018,NA,Flippfly,Flippfly,,Puzzle,,,,1,,11/3/2019, $ -   ,Digital,0,,,,90%,61%,Steam,2,,8.50,,2018,58%,0.756,0.4
Graveyard Keeper,PC,8/15/2018,NA,tinyBuild Games,Lazy Bear Games,,Simulation,,,,1,,5/21/2019, $ 13.00 ,Digital,0,,,,68%,72%,Steam,3,,47.00,,2018,65%,0.701,0.6
State of Mind,PC,8/15/2018,NA,Daedalic Entertainment,Daedalic Entertainment,,Adventure,,,,1,,9/8/2019, $ -   ,Digital,0,,,,63%,61%,Steam,2,,10.00,,2018,51%,0.621,0.4
Tanglewood,Sega Genesis,8/14/2018,NA,Big Evil Corporation,Big Evil Corporation,,Side-Scrolling Platformer,,,,1,,6/5/2020, $ -   ,Digital,0,,,,79%,66%,itch.io,3,,5.00,,2018,66%,0.724,0.6
Phantom Doctrine,PC,8/14/2018,NA,Good Shepherd Entertainment,CreativeForge Games,,Turn-Based Tactics,,,,1,,12/6/2019, $ -   ,Digital,0,,,,70%,66%,Steam,3,,30.00,,2018,64%,0.6769,0.6
2064: Read Only Memories INTEGRAL,Nintendo Switch,8/14/2018,NA,MidBoss,MidBoss,Read Only Memories,Adventure,,,,1,Complete,3/20/2020, $ 38.32 ,Physical,0,,,,74%,76%,Limited Run Games,2,,9.50,,2018,58%,0.75,0.4
Death's Gambit,PlayStation 4,8/14/2018,NA,Adult Swim Games,White Rabbit,,Metroidvania,,,,1,Complete,6/25/2019, $ 27.11 ,Physical,0,,,,71%,70%,,2,,11.00,,2018,55%,0.705,0.4
Monster Hunter: World,PC,8/9/2018,NA,Capcom,Capcom,Monster Hunter,Action RPG,,,,1,,8/9/2018, $ 58.97 ,Digital,0,,,,89%,83%,Steam,4,,50.00,,2018,83%,0.861,0.8
Minit,Nintendo Switch,8/9/2018,NA,Devolver Digital,"JW, Kitty, Jukio, and Dom",Minit,Adventure,,,,1,Complete,9/12/2019, $ 39.99 ,Physical,0,,,,81%,74%,Special Reserve Games,3,,1.50,,2018,69%,0.77625,0.6
Deiland,PC,8/9/2018,NA,Chibig,Chibig,Deiland,Simulation,,,,1,,,,Digital,0,,,,,60%,Steam,2,,10.50,,2018,50%,60%,0.4
Unavowed,PC,8/8/2018,NA,Wadjet Eye Games,Wadjet Eye Games,,Adventure,,,,1,,7/29/2022, $ -   ,Digital,0,,,,87%,77%,Steam,3,,9.50,,2018,71%,0.819,0.6
Picross e9,Nintendo 3DS,8/8/2018,JP,Jupiter,Jupiter,Picross,Puzzle,,,2,0,,,,,0,,,,,75%,,3,,20.50,,2018,68%,75%,0.6
Jimmy and the Pulsating Mass,PC,8/7/2018,NA,Kasey Ozymy,Kasey Ozymy,,Turn-Based RPG,,,,1,,, $ -   ,Digital,0,,,,82%,84%,itch.io,4,,36.00,,2018,82%,0.83,0.8
Dead Cells,Nintendo Switch,8/7/2018,NA,Motion Twin,Motion Twin,,Roguelike,,,,1,Complete,4/24/2019, $ 27.51 ,Physical,0,,,,88%,83%,,3,,13.50,,2018,73%,0.854,0.6
Overcooked! 2,PC,8/7/2018,NA,Team17,Ghost Town Games,Overcooked!,Simulation,,,,1,,12/4/2020, $ 12.00 ,Digital,0,,,,81%,78%,Steam,3,,6.50,,2018,70%,0.794,0.6
Flipping Death,PC,8/6/2018,NA,Zoink Games,Zoink Games,,Puzzle Platformer,,,,1,,10/29/2019, $ -   ,Digital,0,,,,74%,71%,Steam,2,,6.00,,2018,56%,0.72175,0.4
WarioWare Gold,Nintendo 3DS,8/3/2018,NA,Nintendo,Intelligent Systems,WarioWare,Action,,,,1,Complete,3/13/2019, $ 24.97 ,Physical,0,,,,80%,84%,,3,,2.50,,2018,71%,0.818,0.6
Salt and Sanctuary,Nintendo Switch,8/2/2018,NA,Ska Studios,Ska Studios,,Action RPG,,,,1,Complete,4/7/2019, $ 21.69 ,Physical,0,,,,81%,84%,,4,,16.00,,2018,81%,0.823,0.8
Iconoclasts,Nintendo Switch,8/2/2018,NA,Bifrost Entertainment,Konjak,,Metroidvania,,,,1,Complete,4/1/2019, $ 40.49 ,Physical,0,,,,91%,78%,Limited Run Games,3,,11.00,,2018,72%,0.845,0.6
Picross S2,Nintendo Switch,8/2/2018,NA,Jupiter,Jupiter,Picross,Puzzle,,,,1,,6/11/2022, $ 6.29 ,Digital,0,,,,73%,78%,,3,,21.00,,2018,68%,0.755,0.6
PUSS!,PC,8/2/2018,NA,teamCOIL,teamCOIL,,Puzzle Action,,,,1,,10/4/2019, $ -   ,Digital,0,,,,60%,69%,Steam,2,,7.00,,2018,52%,0.643,0.4
Yakuza 0,PC,8/1/2018,NA,Sega,Sega CS1,Yakuza,Action Adventure,,,,1,,1/4/2019,,Digital,0,,,,90%,87%,Steam,5,,31.00,,2018,94%,0.887,1
Chasm,PC,7/31/2018,NA,Bit Kid,Bit Kid,,Metroidvania,,,,1,,12/6/2019, $ 11.00 ,Digital,0,,,,72%,72%,Steam,3,,8.50,,2018,66%,0.71925,0.6
Titan Quest,Nintendo Switch,7/31/2018,NA,THQ Nordic,Iron Lore Entertainment,Titan Quest,Action RPG,,,,1,Complete,4/7/2019, $ 21.69 ,Physical,0,,,,67%,74%,,3,,25.50,,2018,65%,0.706,0.6
This Is the Police 2,PC,7/31/2018,NA,THQ Nordic,Weappy Studio,This Is the Police,Turn-Based Tactics,,,,1,,4/3/2020, $ -   ,Digital,0,,,,66%,65%,Steam,2,,21.50,,2018,53%,0.653,0.4
Forsaken Remastered,PC,7/31/2018,NA,Nightdive Studios,Nightdive Studios,Forsaken,First-Person Shooter,,,,1,,6/1/2020, $ -   ,Digital,0,,,,,66%,Twitch,2,,9.00,,2018,53%,66%,0.4
Ganbare! Super Strikers,PC,7/26/2018,NA,rese,rese,,Strategy RPG,,,,1,,, $ -   ,Digital,0,,,,,80%,itch.io,2,,,,2018,60%,80%,0.4
Game Tengoku CruisinMix Special,PlayStation 4,7/26/2018,NA,Degica,Degica,Game Tengoku,Scrolling Shooter,,,,1,Complete,6/17/2019, $ 45.74 ,Physical,0,,,,,78%,Limited Run Games,2,,0.43,,2018,59%,78%,0.4
The Banner Saga 3,PC,7/26/2018,NA,Stoic Studio,Stoic Studio,The Banner Saga,Strategy RPG,,,,1,,8/21/2023, $ -   ,Digital,0,,,,82%,79%,Steam,3,,9.50,,2018,70%,0.804,0.6
Ys: Memories of Celceta,PC,7/25/2018,NA,Xseed Games,Nihon Falcom,Ys,Action RPG,,,,1,,4/27/2020, $ 14.99 ,Digital,0,,,,74%,78%,Steam,4,,22.50,,2018,78%,0.759,0.8
Camp W,PC,7/25/2018,NA,Psyop,Psyop,,Adventure,,,,1,,10/12/2021, $ 0.99 ,Digital,0,,,,,57%,Steam,2,,2.50,,2018,48%,57%,0.4
Semblance,PC,7/24/2018,NA,Good Shepherd Entertainment,Nyamakop,,Puzzle Platformer,,,,1,,6/5/2020, $ 0.62 ,Digital,0,,,,79%,75%,Steam,2,,3.50,,2018,59%,0.77,0.4
New Gundam Breaker,PlayStation 4,7/23/2018,NA,Bandai Namco Entertainment,Crafts & Meister,Gundam,Action,,,,1,Complete,1/15/2021, $ 4.99 ,Physical,0,,,,43%,46%,,2,,20.50,,2018,42%,0.443,0.4
Zone of Lacryma,PC,7/23/2018,NA,oophok,oophok,,Scrolling Shooter,,,,1,,, $ -   ,Digital,0,,,,,,itch.io,2,,3.00,,2018,40%,,0.4
Sanrio characters Picross,Nintendo 3DS,7/19/2018,NA,Jupiter,Jupiter,Picross,Puzzle,,,,1,,3/14/2022, $ 7.99 ,Digital,0,,,,,80%,,3,,16.00,,2018,70%,80%,0.6
Pool Panic,PC,7/19/2018,NA,Adult Swim Games,Rekim,,Action Adventure,,,,1,,6/8/2019, $ -   ,Digital,0,,,,78%,60%,Steam,3,,5.50,,2018,65%,0.69,0.6
Mechanism,PC,7/19/2018,NA,Alexander Goodwin,Alexander Goodwin,,Adventure,,,,1,,5/4/2020, $ 2.59 ,Digital,0,,,,,,Steam,3,,,,2018,60%,,0.6
Adventure Time: Pirates of the Enchiridion,PC,7/17/2018,NA,Outright Games,Climax Studios,Adventure Time,Action Adventure,,,,1,,7/16/2022, $ -   ,Digital,0,,,,,74%,Steam,3,,6.00,,2018,67%,74%,0.6
Mugsters,PC,7/17/2018,NA,Team17,Reinkout Games,,Action,,,,1,,3/2/2020, $ -   ,Digital,0,,,,,70%,Twitch,2,,,,2018,55%,70%,0.4
GNOG,PC,7/17/2018,NA,Double Fine Presents,KO_OP,,Puzzle,,,,1,,8/8/2019, $ -   ,Digital,0,,,,80%,60%,Epic Games Store,2,,2.00,,2018,55%,0.698,0.4
MOTHERGUNSHIP,PC,7/17/2018,NA,Grip Digital,Terrible Posture Games,,First-Person Shooter,,,,1,,9/8/2019, $ -   ,Digital,0,,,,73%,54%,Steam,3,,4.00,,2018,62%,0.636,0.6
Captain Toad: Treasure Tracker,Nintendo Switch,7/13/2018,NA,Nintendo,Nintendo EAD Tokyo,Mario,Puzzle Action,,,,1,,1/18/2021, $ 4.55 ,Digital,0,,,,82%,79%,,2,,7.00,,2018,60%,0.803,0.4
The Vagrant,PC,7/13/2018,NA,SakuraGame,O.T.K. Games,,Action RPG,,,,1,,9/24/2018, $ 1.99 ,Digital,0,,,,,72%,Steam,2,,10.00,,2018,56%,72%,0.4
The Spiral Scouts,PC,7/12/2018,NA,Cantaloupe Kids,Cantaloupe Kids,,Puzzle Action,,,,1,,10/4/2019, $ -   ,Digital,0,,,,85%,56%,Steam,2,,5.00,,2018,55%,0.705,0.4
"Warhammer 40,000: Gladius - Relics of War",PC,7/12/2018,NA,Slitherine Ltd.,Proxy Studios,"Warhammer 40,000",4X,,,,1,,5/1/2020, $ -   ,Digital,0,,,,71%,60%,Steam,2,,7.50,,2018,53%,0.655,0.4
Shining Resonance Refrain,Nintendo Switch,7/10/2018,NA,Sega,O-Two,Shining,Turn-Based RPG,,,,1,Complete,7/7/2019, $ 19.97 ,Physical,0,,,,69%,76%,,3,,30.50,,2018,66%,0.725,0.6
Red Faction: Guerrilla Re-Mars-Tered,Xbox One,7/3/2018,NA,THQ Nordic,Volition,Red Faction,Third-Person Shooter,,,,1,Complete,12/20/2018, $ 29.99 ,Physical,0,,,,70%,72%,,2,,12.00,,2018,56%,0.711,0.4
DERE EVIL .EXE,PC,7/3/2018,NA,AppSir Games,Darius Immanuel D. Guerrero,,Side-Scrolling Platformer,,,,1,,, $ -   ,Digital,0,,,,,63%,itch.io,2,,1.50,,2018,52%,63%,0.4
A Wish Upon A Star,PC,6/30/2018,NA,Fabian Denter,Fabian Denter,,Puzzle,,,,1,,, $ -   ,Digital,0,,,,,,itch.io,2,,2.00,,2018,40%,,0.4
Crash Bandicoot: N. Sane Trilogy,Nintendo Switch,6/29/2018,NA,Activision,Vicarious Visions,Crash Bandicoot,3D Platformer,,,,1,Complete,6/29/2018, $ 34.71 ,Physical,0,,,,77%,77%,,4,,15.00,,2018,78%,0.769,0.8
Crash Bandicoot: N. Sane Trilogy,PC,6/29/2018,NA,Activision,Vicarious Visions,Crash Bandicoot,3D Platformer,,,,1,,10/4/2019, $ -   ,Digital,0,,,,60%,80%,Steam,4,,15.00,,2018,75%,0.701,0.8
The Crew 2,PC,6/29/2018,NA,Ubisoft,Ivory Tower,The Crew,Racing,,,,1,,12/23/2019, $ 9.00 ,Digital,0,,,,66%,55%,uPlay,3,,18.00,,2018,60%,0.606,0.6
Lumines Remastered,Nintendo Switch,6/26/2018,NA,Enhance Inc.,Resonair,Lumines,Rhythm,,,,1,Complete,5/17/2019, $ 37.91 ,Physical,0,,,,86%,82%,Limited Run Games,2,,2.50,,2018,62%,0.839,0.4
Mario Tennis Aces,Nintendo Switch,6/22/2018,NA,Nintendo,Camelot Software Planning,Mario Tennis,Sports,,,,1,Complete,6/22/2018, $ 59.96 ,Physical,0,,,,73%,73%,,3,,5.00,,2018,67%,0.732,0.6
The Lost Child,PlayStation 4,6/19/2018,NA,NIS America,Crim,El Shaddai,Dungeon Crawler,,,,1,,5/31/2020, $ 19.99 ,Digital,0,,,,62%,77%,,3,,40.50,,2018,65%,0.697,0.6
Flashback,Nintendo Switch,6/17/2018,NA,Microïds,Paul Cuisset,Flashback,Side-Scrolling Platformer,,,,1,Complete,4/23/2019, $ 21.69 ,Physical,0,,,,80%,79%,,3,,6.00,,2018,70%,0.796,0.6
LEGO The Incredibles,PC,6/15/2018,NA,Warner Bros. Interactive Entertainment,TT Fusion,LEGO,Action Adventure,,,,1,,4/14/2022, $ 5.99 ,Digital,0,,,,,78%,Steam,3,,7.00,,2018,69%,78%,0.6
Budget Cuts,PC,6/14/2018,NA,Neat Corporation,Neat Corporation,,Action Adventure,1,,,1,,2/19/2020, $ -   ,Digital,0,,,,76%,61%,Steam,3,,5.00,,2018,64%,0.686,0.6
Muv-Luv Alternative,PlayStation Vita,6/12/2018,NA,PQube,ixtl,Muv-Luv,Visual Novel,,,,1,Complete,9/9/2020, $ 29.99 ,Physical,0,,,,,83%,,4,,50.00,,2018,82%,83%,0.8
Muv-Luv,PlayStation Vita,6/12/2018,NA,PQube,5pb.,Muv-Luv,Visual Novel,,,,1,Complete,9/4/2020, $ 32.99 ,Physical,0,,,,77%,76%,,4,,22.50,,2018,78%,0.765,0.8
Hollow Knight,Nintendo Switch,6/12/2018,NA,Team Cherry,Team Cherry,Hollow Knight,Metroidvania,,,,1,Complete,5/31/2019, $ 40.47 ,Physical,0,,,,90%,86%,,3,,23.50,,2018,74%,0.881,0.6
Jurassic World Evolution,PC,6/12/2018,NA,Frontier Developments,Frontier Developments,Jurassic Park,Simulation,,,,1,,5/1/2020, $ -   ,Digital,0,,,,69%,72%,Steam,3,,24.00,,2018,65%,0.706,0.6
Lust for Darkness,PC,6/12/2018,NA,Movie Games,Movie Games Lunarium,Lust,Survival Horror,,,,1,,,,Digital,0,,,,50%,53%,Steam,2,,2.50,,2018,46%,0.515,0.4
Unravel Two,PC,6/8/2018,NA,Electronic Arts,Coldwood Interactive,Unravel,Puzzle Platformer,,,,1,,8/27/2020, $ 5.24 ,Digital,0,,,,76%,70%,Steam,4,,5.00,,2018,76%,0.729,0.8
Sushi Striker: The Way of Sushido,Nintendo Switch,6/7/2018,NA,Nintendo,Nintendo EPD,,Puzzle Action,,,,1,Complete,3/17/2019, $ 23.68 ,Physical,0,,,,77%,78%,,2,,15.50,,2018,59%,0.776,0.4
Vampyr,PC,6/5/2018,NA,Focus Home Interactive,DONTNOD Entertainment,,Action RPG,,,,1,,12/28/2019, $ 6.99 ,Digital,0,,,,72%,68%,Steam,3,,16.00,,2018,65%,0.701,0.6
Onrush,PlayStation 4,6/5/2018,NA,Deep Silver,Codemasters Evo,,Vehicular Combat,,,,1,,12/8/2018, $ -   ,Digital,0,,,,78%,69%,PlayStation Plus,2,,12.00,,2018,57%,0.737,0.4
The Great Story of a Mighty Hero,PC,6/5/2018,NA,DeanForge,DeanForge,,Action RPG,,,,1,,8/6/2018, $ 2.99 ,Digital,0,,,,,55%,Steam,2,,,,2018,48%,55%,0.4
Shaq Fu: A Legend Reborn,PC,6/5/2018,NA,Mad Dog Games,Big Deez Productions,Shaq Fu,Beat 'em Up,,,,1,,8/3/2020, $ -   ,Digital,0,,,,30%,64%,Steam,2,,3.00,,2018,43%,0.469,0.4
Sorcery Saga: Curse of the Great Curry God,PC,6/4/2018,NA,Ghostlight,Compile Heart,Madō Monogatari,Dungeon Crawler,,,,1,,2/14/2021, $ 3.99 ,Digital,0,,,,,68%,Steam,3,,20.50,,2018,64%,68%,0.6
Cultist Simulator,PC,5/31/2018,NA,Humble Games,Weather Factory,,Card Game,,,,1,,2/1/2019,,Digital,0,,,,75%,65%,Steam,3,,19.50,,2018,65%,0.699,0.6
Smoke and Sacrifice,PC,5/31/2018,NA,Curve Digital,Solar Sail Games,,Action Adventure,,,,1,,, $ -   ,Digital,0,,,,63%,69%,Twitch,3,,10.50,,2018,63%,0.66,0.6
Full Metal Panic! Fight! Who Dares Wins,PlayStation 4,5/31/2018,AS,Bandai Namco Games,B.B.Studio,Full Metal Panic,Strategy RPG,,,2,1,Complete,6/22/2023, $ 74.18 ,Physical,0,,,,,61%,,3,,12.00,,2018,61%,61%,0.6
Overload,PC,5/31/2018,NA,Revival Productions,Revival Productions,,Shooter,,,,1,,, $ -   ,Digital,0,,,,74%,81%,Twitch,2,,8.00,,2018,59%,0.777,0.4
Metal Slug XX,PlayStation 4,5/30/2018,NA,SNK,Noise Factory,Metal Slug,Run and Gun,,,,1,Complete,6/26/2020, $ 38.12 ,Physical,0,,,,,72%,Limited Run Games,3,,0.93,,2018,66%,72%,0.6
Yoku's Island Express,PC,5/29/2018,NA,Team17,Villa Gorilla,,Metroidvania,,,,1,,8/3/2019, $ -   ,Digital,0,,,,88%,77%,Steam,4,,6.00,,2018,81%,0.826,0.8
Moonlighter,PC,5/29/2018,NA,11 bit studios,Digital Sun,,Action RPG,,,,1,,6/8/2019, $ 11.00 ,Digital,0,,,,82%,66%,Steam,3,,13.50,,2018,67%,0.739,0.6
Agony,PC,5/29/2018,NA,Madmind Studio,Madmind Studio,Agony,Survival Horror,,,,1,,8/28/2019, $ 4.33 ,Digital,0,,,,41%,46%,Steam,2,,7.50,,2018,42%,0.435,0.4
Detroit: Become Human,PlayStation 4,5/25/2018,NA,Sony Interactive Entertainment,Quantic Dream,,Adventure,,,,1,Complete,2/10/2019, $ 38.87 ,Physical,0,,,,77%,81%,,4,,11.50,,2018,79%,0.788,0.8
Dark Souls: Remastered,Xbox One,5/25/2018,NA,Namco Bandai Games,FromSoftware,Souls,Action RPG,,,,1,Complete,1/26/2019, $ 63.77 ,Physical,0,,,,83%,85%,Dark Souls Trilogy,2,,25.50,,2018,62%,0.839,0.4
PixelJunk Monsters 2,PC,5/25/2018,NA,Spike Chunsoft,Q-Games,PixelJunk,Tower Defense,,,,1,,9/14/2022, $ 1.49 ,Digital,0,,,,,,Steam,3,,7.50,,2018,60%,,0.6
Bloodstained: Curse of the Moon,Nintendo Switch,5/24/2018,NA,505 Games,Inti Creates,Bloodstained,Side-Scrolling Platformer,,,,1,Complete,5/24/2018, $ 35.74 ,Physical,0,,,,81%,80%,Limited Run Games,4,,2.00,,2018,80%,0.806,0.8
Dillon's Dead-Heat Breakers,Nintendo 3DS,5/24/2018,NA,Nintendo,Vanpool,Dillon's Rolling Western,Tower Defense,,,,1,,3/1/2022, $ 39.99 ,Digital,0,,,,69%,74%,,3,,18.00,,2018,66%,0.715,0.6
Catmaze,PC,5/24/2018,NA,Redblack Spade,Redblack Spade,,Metroidvania,,,,1,,10/3/2022, $ 2.99 ,Digital,0,,,,,71%,Steam,3,,9.50,,2018,66%,71%,0.6
Runner3,Nintendo Switch,5/22/2018,NA,Nicalis,Choice Provisions,BIT.TRIP,Side-Scrolling Platformer,,,,1,Complete,5/24/2019, $ 41.66 ,Physical,0,,,,74%,71%,,4,,6.00,,2018,76%,0.726,0.8
Quarantine Circular,PC,5/22/2018,NA,Bithell Games,Bithell Games,Subsurface Circular,Adventure,,,,1,,6/8/2019, $ 2.99 ,Digital,0,,,,74%,68%,Steam,3,,2.00,,2018,66%,0.71,0.6
Ancestors Legacy,PC,5/22/2018,NA,1C Entertainment,Destructive Creations,,Real-Time Strategy,,,,1,,12/6/2019, $ -   ,Digital,0,,,,78%,61%,Steam,2,,27.50,,2018,55%,0.69175,0.4
The Mercury Man,PC,5/20/2018,NA,Mehsoft,Mehsoft,,Adventure,,,,1,,12/21/2018, $ 1.19 ,Digital,0,,,,,74%,Steam,2,,2.50,,2018,57%,74%,0.4
